,X,Y,nama,kode_rs,tempat_tidur,lat,lon,alamat,tipe,wilayah,city
39,116.833,-1.2833,RS UMUM DAERAH DR. KANUJOSO DJATIWIBOWO,6471014,414,-1.2833,116.833,JL. M.T. HARYONO RING ROAD BALIKPAPAN NO.656,RS_RUJUKAN_NASIONAL,KALIMANTAN TIMUR,KOTA BALIKPAPAN
923,116.419,1.64063,RS UMUM DAERAH RATU AJI PUTRI BOTUNG,6409036,94,1.64063,116.419,JL PROPINSI KM 9 KAB. PENAJAM PASER UTARA,RS_RUJUKAN_PROVINSI,KALIMANTAN TIMUR,PENAJAM PASER UTARA
164,117.563826,0.755212,RS SANDARAN BENGALON,6404053,0,0.755212,117.563826,"JL. MULAWARMAN INDUK, SEPASO, KEC. BENGALON, KABUPATEN KUTAI TIMUR, KALIMANTAN TIMUR 75618",RS,KALIMANTAN TIMUR,KUTAI TIMUR
927,117.435,0.52086,RS UMUM DAERAH KUDUNGGA,6404032,153,0.52086,117.435,JL. SOEKARNO HATTA NO.1 SANGATTA UTARA,RS_RUJUKAN_PROVINSI,KALIMANTAN TIMUR,KUTAI TIMUR
925,117.696,2.16233,RS UMUM DAERAH DR. ABDUL RIVAI,6405011,153,2.16233,117.696,JL. PULAU PANJANG NO.276 TANJUNG REDEB,RS_RUJUKAN_PROVINSI,KALIMANTAN TIMUR,BERAU
371,116.847602,-1.263974,RS UMUM DAERAH BERIMAN,6471079,112,-1.263974,116.847602,JL. MAYJEND SUTOYO RT 01 NO. 30 GN SARI ULU,RS_RUJUKAN_PROVINSI,KALIMANTAN TIMUR,KOTA BALIKPAPAN
540,116.874343,-1.229975,RS HERMINA BALIKPAPAN,6471086,59,-1.229975,116.874343,"JL. MT HARYONO JL. SEPINGGAN BARU NO.45, SEPINGGAN, KECAMATAN BALIKPAPAN SELATAN, KOTA BALIKPAPAN, KALIMANTAN TIMUR 76114",RS,KALIMANTAN TIMUR,KOTA BALIKPAPAN
145,116.069511,-2.246757,RS PRATAMA BATU ENGAU,6401018,50,-2.246757,116.069511,JL. NEGARA DESA KERANG RT. 009 KECAMATAN BATU ENGAU,RS,KALIMANTAN TIMUR,PASER
924,117.649,4.14259,RS UMUM DAERAH KABUPATEN NUNUKAN,6408025,126,4.14259,117.649,JL. UJANG FATIMAH RT.04 NUNUKAN BARAT,RS_RUJUKAN_PROVINSI,KALIMANTAN UTARA,NUNUKAN
40,117.367,2.85,RS UMUM DAERAH TANJUNG SELOR,6404021,135,2.85,117.367,"JL CENDRAWASIH KEL TANJUNG SELOR HILIR, KEC TANJUNG SELOR KAB BULUNGAN",RS_RUJUKAN_NASIONAL,KALIMANTAN UTARA,BULUNGAN
708,117.5608221,3.34051386299999,RS UMUM KOTA TARAKAN,6571044,73,3.340513863,117.5608221,JL. AKI BABU RT 01 KELURAHAN KARANG HARAPAN KECAMATAN TARAKAN BARAT KOTA TARAKAN PROVINSI KALIMANTAN,RS_RUJUKAN_NASIONAL,KALIMANTAN UTARA,KOTA TARAKAN
316,106.139,-1.8833,RS UMUM DAERAH DEPATI BAHRIN,1901016,132,-1.8833,106.139,"JL. JEND SUDIRMAN NO.195, KEL.PARIT PADANG KEC.SUNGAILIAT PROPINSI KEPULAUAN BANGKA BELITUNG",RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,BANGKA
625,106.116106,-2.138987,RS KALBU INTAN MEDIKA,1971004,72,-2.138987,106.116106,JL. BASUKI RACHMAD KEL. BATU INTAN KEC. GIRIMAYA PANGKAL PINANG,RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG
626,107.7214532,-2.75720031600001,RS UMUM ALMAH,1902011,32,-2.757200316,107.7214532,"JL. JEND. SUDIRMAN KM. 11 KECAMATAN BULUH TUMBANG, TANJUNG PANDAN",RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,BELITUNG
978,106.111926,-2.112928,RS IBU DAN ANAK MUHAYA,1971003,54,-2.112928,106.111926,JL.JEND.SUDIRMAN PANGKALPINANG KEPULAUAN BANGKA BELITUNG,RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG
140,105.935972,-2.006985,RS UMUM DAERAH SJAFRIE RACHMAN PUDING BESAR,1901046,12,-2.006985,105.935972,"JL. RAYA SUNGAILIAT, MENTOK, PUDING BESAR, KABUPATEN BANGKA, KEPULAUAN BANGKA BELITUNG 33179",RS,KEPULAUAN BANGKA BELITUNG,BANGKA
682,107.678721,-2.748841,RS UMUM DAERAH DR. H. MARSIDI JUDONO,1902010,104,-2.748841,107.678721,"JL. JEND. SUDIRMAN KM.5,5, AIK RAYAK, TJ. PANDAN, KABUPATEN BELITUNG, KEPULAUAN BANGKA BELITUNG 33411",RS_RUJUKAN_NASIONAL,KEPULAUAN BANGKA BELITUNG,BELITUNG
333,106.135,-2.2307,RS BAKTI TIMAH PANGKALPINANG,1971043,149,-2.2307,106.135,"JALAN BUKIT BARU NO. 1, PANGKALPINANG, TAMAN BUNGA, GERUNGGANG, KABUPATEN BANGKA, KEPULAUAN BANGKA BELITUNG 33131",RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG
900,106.111816,-2.124242,RS IBU DAN ANAK RONA,1971006,26,-2.124242,106.111816,"JALAN KH. HASAN BASRI SULAIMAN, GEDUNG NASIONAL, KEC. TAMAN SARI, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG 33684",RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG
215,106.118,-1.9213,RS UMUM ARSANI,1902042,66,-1.9213,106.118,JL. RAYA AIR KENANGA KEC. SUNGAILIAT KAB. BANGKA PROV. KEPULAUAN BANGKA BELITUNG ,RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,BANGKA
