,X,Y,nama,kode_rs,tempat_tidur,lat,lon,alamat,tipe,wilayah,city
345,105.251889,-5.425041,RS UMUM BUMI WARAS,1871234,143,-5.425041,105.251889,"JL. WOLTER MONGINSIDI NO.235, PENGAJARAN, BUMI WARAS, KOTA BANDAR LAMPUNG, LAMPUNG 35121",RS_RUJUKAN_PROVINSI,LAMPUNG,KOTA BANDAR LAMPUNG
683,105.259312,-5.402913,RS UMUM DAERAH DR H ABDUL MOELOEK,1801017,576,-5.402913,105.259312,"JL. DR. RIVAI NO.6, PENENGAHAN, KEC. TJ. KARANG PUSAT, KOTA BANDAR LAMPUNG, LAMPUNG 35112",RS_RUJUKAN_NASIONAL,LAMPUNG,KOTA BANDAR LAMPUNG
684,105.306,-5.1139,RS UMUM DAERAH AHMAD YANI METRO,1872016,242,-5.1139,105.306,JL.JEND. A.YANI NO.13 KOTA METRO,RS_RUJUKAN_NASIONAL,LAMPUNG,KOTA METRO
687,104.891695,-4.83242,RS UMUM DAERAH MAY JEN HM RYACUDU,1806013,118,-4.83242,104.891695,"JL. JEND. SUDIRMAN NO.2, KOTA GAPURA, KOTABUMI, KABUPATEN LAMPUNG UTARA, LAMPUNG 34511",RS_RUJUKAN_NASIONAL,LAMPUNG,LAMPUNG UTARA
690,105.596497,-5.727526,"RS UMUM DAERAH DR. H. BOB BAZAR, SKM",1803021,176,-5.727526,105.596497,"JL. LETTU ROHANI NO.14 B, KEDATON, KEC. KALIANDA, KABUPATEN LAMPUNG SELATAN, LAMPUNG 35551",RS_RUJUKAN_NASIONAL,LAMPUNG,LAMPUNG SELATAN
323,105.224,-5.374,RS BHAYANGKARA POLDA LAMPUNG,1871438,67,-5.374,105.224,JL. PRAMUKA NO.88 RAJABASA BANDAR LAMPUNG,RS_RUJUKAN_PROVINSI,LAMPUNG,KOTA BANDAR LAMPUNG
379,105.219299,-5.379041,RS UMUM PERTAMINA-BINTANG AMIN LAMPUNG,1871427,147,-5.379041,105.219299,"JL. PRAMUKA NO.27, KEMILING PERMAI, KEC. KEMILING",RS_RUJUKAN_PROVINSI,LAMPUNG,KOTA BANDAR LAMPUNG
364,104.647343,-5.466899,RS UMUM DAERAH BATIN MANGUNANG,1802027,122,-5.466899,104.647343,"RSUD KOTAAGUNG, KOTA AGUNG, KABUPATEN TANGGAMUS, LAMPUNG 35384",RS_RUJUKAN_PROVINSI,LAMPUNG,TANGGAMUS
361,104.728799,-5.424338,RS PANTI SECANTI,1802016,72,-5.424338,104.728799,"GISTING BAWAH, GISTING, KABUPATEN TANGGAMUS, LAMPUNG 35384",RS_RUJUKAN_PROVINSI,LAMPUNG,TANGGAMUS
347,105.288607,-5.3856910000000005,RS UMUM IMANUEL WAY HALIM,1871180,182,-5.3856910000000005,105.288607,"JL. SOEKARNO HATTA NO.1, WAY DADI, KEC. SUKARAME, KOTA BANDAR LAMPUNG, LAMPUNG 35133",RS_RUJUKAN_PROVINSI,LAMPUNG,KOTA BANDAR LAMPUNG
360,104.990776,-5.358429,RS UMUM MITRA HUSADA,1802038,169,-5.358429,104.990776,"SIDOHARJO, KEC. PRINGSEWU, KABUPATEN PRINGSEWU, LAMPUNG 35373",RS_RUJUKAN_PROVINSI,LAMPUNG,PRINGSEWU
358,104.936874,-5.366117,RS UMUM DAERAH PRINGSEWU,1803010,166,-5.366117,104.936874,"JL. JEND. AHMAD YANI, PAJAR AGUNG, KEC. PRINGSEWU, KABUPATEN PRINGSEWU, LAMPUNG 35376",RS_RUJUKAN_PROVINSI,LAMPUNG,PRINGSEWU
348,105.210235,-5.01244,RS UMUM DAERAH DEMANG SEPULAU RAYA,1805034,101,-5.01244,105.210235,"JL. LINTAS SUMATRA NO. 4 A, KAMPUNG TERBANGGI AGUNG, KEC. GUNUNG SUGIH, TERBANGGI AGUNG, LAMPUNG TENGAH, KABUPATEN LAMPUNG TENGAH, LAMPUNG 34172",RS_RUJUKAN_PROVINSI,LAMPUNG,LAMPUNG TENGAH
349,105.258347,-5.401484,RS TK IV 02.07.04,1871026,137,-5.401484,105.258347,"JL. DR. AHMAD RIVAI NO. 7, PENENGAHAN, BANDAR LAMPUNG",RS_RUJUKAN_PROVINSI,LAMPUNG,KOTA BANDAR LAMPUNG
350,104.885901,-4.8395160000000015,RS UMUM HANDAYANI,1806035,144,-4.8395160000000015,104.885901,"JALAN SOEKARNO - HATTA NO. 94 KOTA ALAM KOTABUMI, TJ. AMAN, KEC. KOTABUMI SEL., KABUPATEN LAMPUNG UTARA, LAMPUNG 34516",RS_RUJUKAN_PROVINSI,LAMPUNG,LAMPUNG UTARA
351,105.221788,-4.5467309999999985,RS UMUM DAERAH MENGGALA TULANG BAWANG,1808015,144,-4.5467309999999985,105.221788,"JL. LINTAS SUMATERA NO.1, TIUH TOHOU, MENGGALA, KABUPATEN TULANGBAWANG, LAMPUNG 34693",RS_RUJUKAN_PROVINSI,LAMPUNG,TULANG BAWANG
352,104.53063,-4.588787,RS UMUM DAERAH ZAINAL ABIDIN PAGAR ALAM,1807014,57,-4.588787,104.53063,"JL. LINTAS TENGAH SUMATERA, NEGERI BARU, BLAMBANGAN UMPU, KABUPATEN WAY KANAN, LAMPUNG 34764",RS_RUJUKAN_PROVINSI,LAMPUNG,WAY KANAN
357,105.526884,-5.075633,RS UMUM DAERAH SUKADANA,1804011,108,-5.075633,105.526884,"MATARAM MARGA, SUKADANA, KABUPATEN LAMPUNG TIMUR, LAMPUNG 34182",RS_RUJUKAN_PROVINSI,LAMPUNG,LAMPUNG TIMUR
212,105.196,-5.3121,RS NATAR MEDIKA,1803033,91,-5.3121,105.196,"JL. RAYA NATAR NO.4 MUARA PUTIH, LAMPUNG SELATAN",RS_RUJUKAN_PROVINSI,LAMPUNG,LAMPUNG SELATAN
114,104.91531,-4.851008,RS CANDIMAS MEDICAL CENTER,1806038,40,-4.851008,104.91531,JL. ALAMSYAH RATU PERWIRA NEGARA NO. 47 KOTABUMI SELATAN,RS,LAMPUNG,LAMPUNG UTARA
354,105.212756,-4.8984,RS UMUM YUKUM MEDICAL CENTRE,1805023,126,-4.8984,105.212756,"JL. NEGARA NO.99, YUKUM JAYA, KEC. TERBANGGI BESAR, KABUPATEN LAMPUNG TENGAH, LAMPUNG 34163",RS_RUJUKAN_PROVINSI,LAMPUNG,LAMPUNG TENGAH
313,103.9726868,-5.215136007,RSUD KH. MUHAMMAD THOHIR KRUI,1813001,19,-5.215136007,103.9726868,ATAR SEDANGKEK PEKON WAY SULUH KEC. KRUI SELATAN KAB. PESISIR BARAT,RS_RUJUKAN_PROVINSI,LAMPUNG,PESISIR BARAT
529,105.349738,-3.983601,RS UMUM DAERAH RAGAB BEGAWE CARAM,1811002,76,-3.983601,105.349738,JL. ZA. PAGAR ALAM BRABASAN KEC. TANJUNG RAYA,RS_RUJUKAN_PROVINSI,LAMPUNG,MESUJI
342,105.262842,-5.391872,RS UMUM ADVENT BANDAR LAMPUNG,1871282,167,-5.391872,105.262842,"JL. TEUKU UMAR NO..48, SIDODADI, KEC. KEDATON, KOTA BANDAR LAMPUNG, LAMPUNG 35148",RS_RUJUKAN_PROVINSI,LAMPUNG,KOTA BANDAR LAMPUNG
343,105.276925,-5.3909980000000015,RS UMUM URIP SUMOHARJO,1871405,417,-5.3909980000000015,105.276925,"JL. URIP SUMOHARJO NO.200, GN. SULAH, WAY HALIM, KOTA BANDAR LAMPUNG, LAMPUNG 35132",RS_RUJUKAN_PROVINSI,LAMPUNG,KOTA BANDAR LAMPUNG
341,105.268076,-5.413183,RS UMUM GRAHA HUSADA,1871416,128,-5.413183,105.268076,"JALAN GAJAH MADA NO. 6 GH, TJ. AGUNG RAYA, KEDAMAIAN, KOTA BANDAR LAMPUNG, LAMPUNG 35128",RS_RUJUKAN_PROVINSI,LAMPUNG,KOTA BANDAR LAMPUNG
397,104.072779,-5.032886,RS UMUM DAERAH ALIMUDDIN UMAR,1801015,0,-5.032886,104.072779,"JL. TEUKU UMAR, KUBU PERAHU, BALIK BUKIT",RS_RUJUKAN_PROVINSI,LAMPUNG,LAMPUNG BARAT
630,105.40496029999998,-5.297992296,RS UMUM DAERAH BANDAR NEGARA HUSADA,1803035,0,-5.297992296,105.40496029999998,KOMPLEKS PEMPROV LAMPUNG KOTA BARU JATI AGUNG KABUPATEN LAMPUNG SELATAN 35365,RS_RUJUKAN_PROVINSI,LAMPUNG,LAMPUNG SELATAN
318,105.254,-5.4396,RS UMUM DAERAH DR. A. DADI TJOKRODIPO,1871048,115,-5.4396,105.254," JL. BASUKI RACHMAD NO.73 TELUK BETUNG UTARA, BANDAR LAMPUNG",RS_RUJUKAN_PROVINSI,LAMPUNG,KOTA BANDAR LAMPUNG
230,132.765895,-5.567894,RS UMUM DAERAH MAREN KOTA TUAL,8172002,58,-5.567894,132.765895,"DESA DULLAH, KEC. P. DULLAH UTARA, 97613, DULLAH DARAT, NORTH DULLAH ISLAND, TUAL CITY, MALUKU",RS_RUJUKAN_PROVINSI,MALUKU,KOTA TUAL
648,128.182925,-3.695526,RS SUMBER HIDUP GPM,8171085,54,-3.695526,128.182925,"JL. ANTHONY REBOK NO.11, KEL HONIPOPU, SIRIMAU, KOTA AMBON, MALUKU",RS_RUJUKAN_PROVINSI,MALUKU,KOTA AMBON
774,128.958233,-3.304981,RS UMUM MASOHI,8103042,101,-3.304981,128.958233,"JL. DR. G. A. SIWABESSY, NAMAELO, KOTA MASOHI, KABUPATEN MALUKU TENGAH, MALUKU 97511",RS_RUJUKAN_PROVINSI,MALUKU,MALUKU TENGAH
777,128.347487,-3.594174,RS UMUM DAERAH DR. ISHAK UMARELLA,8103053,108,-3.594174,128.347487,"JALAN PAHLAWAN NO. 36 TULEHU, MALUKU TENGAH. KODE POS 97582",RS_RUJUKAN_PROVINSI,MALUKU,MALUKU TENGAH
779,128.633239,-3.573858,RS UMUM SAPARUA,8103016,65,-3.573858,128.633239,"JL. RUMAH SAKIT PORTO- KECAMATAN, HARIA, SAPARUA, KABUPATEN MALUKU TENGAH, MALUKU",RS_RUJUKAN_PROVINSI,MALUKU,MALUKU TENGAH
757,128.178915,-3.701059,RS TK. II PROF. DR. J. A. LATUMETEN,8171026,127,-3.701059,128.178915,"JALAN DR. TAMAELA NO.2, KEL SILALE, NUSANIWE, KOTA AMBON, MALUKU",RS_RUJUKAN_PROVINSI,MALUKU,KOTA AMBON
754,134.211873,-5.787909,RS UMUM DAERAH CENDRAWASIH DOBO,8105019,74,-5.787909,134.211873,"JL. CENDRAWASIH KM. 6, SIWALIMA, PULAU-PULAU ARU, KABUPATEN KEPULAUAN ARU, MALUKU",RS_RUJUKAN_PROVINSI,MALUKU,KEPULAUAN ARU
712,128.186542,-3.661391000000001,RS UMUM PUSAT DR. J. LEIMENA,8171123,0,-3.661391000000001,128.186542,"JALAN R. SUPRAPTO NO.123, RUMAH TIGA, TLK. AMBON, KOTA AMBON, MALUKU",RS_RUJUKAN_NASIONAL,MALUKU,KOTA AMBON
667,132.73703700000002,-5.648891000000001,RS UMUM KAREL SADSUITUBUN,8101015,146,-5.648891000000001,132.73703700000002,"JL. MERDEKA RAYA NO.3 KEL. OHOIJANG WATDEK, KEI KECIL, KABUPATEN MALUKU TENGGARA, MALUKU",RS_RUJUKAN_PROVINSI,MALUKU,MALUKU TENGGARA
747,128.227155,-3.654558,RS AL AMBON,8171030,50,-3.654558,128.227155,"KOMPLEK PANGKALAN TNI-AL, JL. LAYAR NO. 1, HALONG, WAIYAME, HALONG, BAGUALA, KOTA AMBON, MALUKU 97231",RS_RUJUKAN_PROVINSI,MALUKU,KOTA AMBON
875,127.101347,-3.22345,RSUD KAB. BURU,8103020,53,-3.22345,127.101347,"JL. BUTUNG LEONG NO. 1 DESA LALA, NAMLEA, KAB.BURU, MALUKU",RS_RUJUKAN_PROVINSI,MALUKU,BURU
608,126.7368372,-3.83732941700001,RS UMUM DAERAH NAMROLE,8109018,60,-3.837329417,126.7368372,"JL. KILOMETER NO. 02, LABUANG - NAMROLE",RS_RUJUKAN_PROVINSI,MALUKU,BURU SELATAN
610,128.210486,-3.08549,RS UMUM PIRU,8106010,60,-3.08549,128.210486,JL. ARTERI PIRU,RS_RUJUKAN_PROVINSI,MALUKU,SERAM BAGIAN BARAT
711,131.308021,-7.974369,RS UMUM DAERAH DR. P. P. MAGRETTI SAUMLAKI,8101063,61,-7.974369,131.308021,JL. MR. LATUHARHARI - SAUMLAKI,RS_RUJUKAN_NASIONAL,MALUKU,MALUKU TENGGARA BARAT
722,128.167195,-3.708337,RS UMUM DR. M. HAULUSSY AMBON,8171015,346,-3.708337,128.167195,"JL. DR. KAYADOE, BENTENG, NUSANIWE, KEL BENTENG, NUSANIWE, KOTA AMBON, MALUKU",RS_RUJUKAN_NASIONAL,MALUKU,KOTA AMBON
618,127.8650408,-8.19345574300001,RS UMUM DAERAH TIAKUR,8108002,30,-8.193455743,127.8650408,TIAKUR,RS_RUJUKAN_PROVINSI,MALUKU,MALUKU BARAT DAYA
607,128.19626200000002,-3.671931,RS BHAYANGKARA AMBON,8171121,93,-3.671931,128.19626200000002,"JL. SULTAN HASANUDDIN - TANTUI, AMBON",RS_RUJUKAN_PROVINSI,MALUKU,KOTA AMBON
766,130.476571,-3.096501,RS UMUM DAERAH BULA,8107021,132,-3.096501,130.476571,JL. WAILOLA NO.11-12 BULA KAB. SERAM BAGIANTIMUR,RS_RUJUKAN_PROVINSI,MALUKU,SERAM BAGIAN TIMUR
196,127.378711,0.774803,RS PRIMA TERNATE,8271057,56,0.774803,127.378711,"JL. RAYA MANGGA II, MANGGA DUA UTARA, TERNATE SEL., KOTA TERNATE, MALUKU UTARA",RS,MALUKU UTARA,KOTA TERNATE
609,128.514,2.28726, RS UMUM DAERAH KAB. PULAU MOROTAI,8205032,45,2.28726,128.514,JL. NAKAMURA DESA DEHEGILA KECAMATAN MOROTAI SELATAN,RS_RUJUKAN_PROVINSI,MALUKU UTARA,PULAU MOROTAI
720,127.377219,0.7824220000000001,RS UMUM DAERAH DR. H. CHASAN BOESOIRIE TERNATE,8271016,221,0.7824220000000001,127.377219,"JL. CEMPAKA, TANAH TINGGI BAR., TERNATE SEL., KOTA TERNATE, MALUKU UTARA",RS_RUJUKAN_NASIONAL,MALUKU UTARA,KOTA TERNATE
651,127.998823,1.725715,RS UMUM DAERAH TOBELO,8201010,111,1.725715,127.998823,JL. LANBOUW GAMSUNGI TOBELO HALMAHERA UTARA,RS_RUJUKAN_PROVINSI,MALUKU UTARA,HALMAHERA UTARA
324,125.97886499999998,-2.062176,RS UMUM DAERAH SANANA,8203020,55,-2.062176,125.97886499999998,JL. DR. SIBARANI - DESA FALAHU KECAMATAN SANANA KABUPATEN KEP. SULA,RS_RUJUKAN_PROVINSI,MALUKU UTARA,KEPULAUAN SULA
544,127.479442,1.091275,RS UMUM DAERAH JAILOLO,8201021,97,1.091275,127.479442,"JL.IR. SOEKARNO DS. ACANGO-JAILOLO,HALMAHERA BARAT",RS_RUJUKAN_PROVINSI,MALUKU UTARA,HALMAHERA BARAT
426,127.4788,0.681381,RS UMUM DAERAH KOTA TIDORE KEPULAUAN,8202043,145,0.681381,127.4788,"JL. SULTAN MANSYUR NO.11, SOA SIO, TIDORE, KOTA TIDORE KEPULAUAN, MALUKU UTARA",RS_RUJUKAN_PROVINSI,MALUKU UTARA,KOTA TIDORE KEPULAUAN
320,127.526798,-0.634138,RS UMUM DAERAH LABUHA,8204010,116,-0.634138,127.526798,"JL. RAYA LABUHA-BABANG, MARABOSE, BACAN, KABUPATEN HALMAHERA SELATAN, MALUKU UTARA",RS_RUJUKAN_PROVINSI,MALUKU UTARA,HALMAHERA SELATAN
93,127.583763,0.751312,RS JIWA SOFIFI,8272004,25,0.751312,127.583763,"JL. LINTAS HALMAHERA DESA GAROJOU, KEC. OBA UTARA. KOTA TIDORE KEPUANAUN PROVINSI MALUKU UTARA",RS,MALUKU UTARA,KOTA TIDORE KEPULAUAN
547,118.446,-8.5454,RS UMUM DOMPU,5205014,158,-8.5454,118.446,"JL. KESEHATAN NO. 1 DOMPU, NTB",RS_RUJUKAN_PROVINSI,NUSA TENGGARA BARAT,DOMPU
537,116.108949,-8.58088,RS ANGKATAN DARAT REM WIRA BHAKTI MATARAM,5271021,53,-8.58088,116.108949,JL. HOS COKROAMINOTO 7 MATARAM,RS_RUJUKAN_PROVINSI,NUSA TENGGARA BARAT,KOTA MATARAM
705,117.447765,-8.531361,RS H. L. MANAMBAI ABDULKADIR,5206027,149,-8.531361,117.447765,"JL. LINTAS SUMBAWA-BIMA KM 5, SEKETENG, KEC. SUMBAWA, KABUPATEN SUMBAWA, NUSA TENGGARA BAR. 84316",RS_RUJUKAN_NASIONAL,NUSA TENGGARA BARAT,SUMBAWA
623,116.093449,-8.589986999999999,RS UNIVERSITAS MATARAM,5271101,39,-8.589986999999999,116.093449,JL. MAJAPAHIT NO. 62 MATARAM,RS_RUJUKAN_PROVINSI,NUSA TENGGARA BARAT,KOTA MATARAM
542,116.295128,-8.702045,RS UMUM PRAYA,5202011,205,-8.702045,116.295128,"JL. H. LALU HASYIM, KELURAHAN TIWU GALIH, PRAYA",RS_RUJUKAN_PROVINSI,NUSA TENGGARA BARAT,LOMBOK TENGAH
600,116.107,-8.5818,RS UMUM DAERAH KOTA MATARAM,5271087,249,-8.5818,116.107,      JL. BUNG KARNO NO.3 PAGUTAN RAYA MATARAM ,RS_RUJUKAN_PROVINSI,NUSA TENGGARA BARAT,KOTA MATARAM
55,118.761799,-8.4736235,RS UMUM BIMA,5206015,155,-8.4736235,118.761799,JL. LANGSAT NO. 1 RABA KOTA BIMA,RS_RUJUKAN_NASIONAL,NUSA TENGGARA BARAT,BIMA
370,116.110608,-8.189811,RS HARAPAN KELUARGA NTB,5272003,51,-8.189811,116.110608,"JL. AHMAD YANI NO.9, SELAGALAS, KEC. SANDUBAYA, KOTA MATARAM, NUSA TENGGARA BAR. 83237",RS_RUJUKAN_PROVINSI,NUSA TENGGARA BARAT,KOTA MATARAM
392,116.849997,-8.735055000000001,RS UMUM DAERAH ASY-SYIFA SUMBAWA BARAT,5207002,80,-8.735055000000001,116.849997,"JL. LANG SESAT, TALIWANG, DALAM, SUMBAWA BARAT, KABUPATEN SUMBAWA BARAT, NUSA TENGGARA BAR. 84455",RS_RUJUKAN_PROVINSI,NUSA TENGGARA BARAT,SUMBAWA BARAT
634,116.098674,-8.593776,SILOAM HOSPITALS MATARAM,5271100,38,-8.593776,116.098674,JL.MAJAPAHIT NO.10 MATARAM,RS_RUJUKAN_PROVINSI,NUSA TENGGARA BARAT,KOTA MATARAM
748,116.1599579,-8.355020257,RS UMUM KAB. LOMBOK UTARA,5208002,170,-8.355020257,116.1599579,"JL. RAYA TIOQ TATA TUNAQ, TANJUNG LOMBOK UTARA",RS_RUJUKAN_PROVINSI,NUSA TENGGARA BARAT,LOMBOK UTARA
53,116.131328,-8.607397,RS UMUM DAERAH NTB,5271010,310,-8.607397,116.131328,JL. PRABU RANGKASARI DASAN CERMEN,RS_RUJUKAN_NASIONAL,NUSA TENGGARA BARAT,KOTA MATARAM
675,116.112,-8.6913,RS UMUM DAERAH PATUT PATUH PATJU,5201010,120,-8.6913,116.112,JL. H. LALU ANGGRAT BA NO. 2 GERUNG,RS_RUJUKAN_PROVINSI,NUSA TENGGARA BARAT,SUMBAWA BARAT
54,116.551,-8.5836,RS UMUM DAERAH DR. R. SOEDJONO SELONG,5203012,228,-8.5836,116.551,"JL. PROF M. YAMIN, SH. NO. 55 SELONG",RS_RUJUKAN_NASIONAL,NUSA TENGGARA BARAT,LOMBOK TIMUR
721,119.896263,-8.54125,RS UMUM DAERAH KOMODO,5315003,48,-8.54125,119.896263,"DESA GOLO BILAS, KECAMATAN KOMODO, KABUPATEN MANGGARAI BARAT, NTT",RS_RUJUKAN_NASIONAL,NUSA TENGGARA TIMUR,MANGGARAI BARAT
949,124.75,-8.25,RS UMUM DAERAH KALABAHI,5307010,108,-8.25,124.75,JL. DR SUTOMO KALABAHI KAB. ALOR,RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,ALOR
947,122.979,-8.3464,RUMAH SAKIT UMUM DAERAH DR. HENDRIKUS FERNANDEZ LA,5309012,88,-8.3464,122.979,JL. JEND. SUDIRMAN NO. 33 KEL. SAROTARI TENGAH LARANTUKA FLORES TIMUR,RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,MANGGARAI TIMUR
948,123.4,-8.3736,RS UMUM DAERAH LEWOLEBA,5308045,76,-8.3736,123.4,"JL.TRANS LEMBATA NO.1,LEWOLEBA,LEMBATA",RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,LEMBATA
534,119.380084,-9.621119,RS UMUM WAIKABUBAK,5301033,107,-9.621119,119.380084,"JL. ADHYAKSA, KM.3, KEL. DIRATANA, KEC. LOLI, WAIKABUBAK",RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,MANGGARAI BARAT
939,123.595,-10.184,RS TK.IV WIRASAKTI KUPANG,5303022,96,-10.184,123.595,"JL. DR.DR.MOCH HATTA NO.9-11 ,KUPANG",RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,KUPANG
531,124.471,-9.4379,RS UMUM DAERAH KEFAMENANU,5305015,85,-9.4379,124.471,JL. LETJEN SUPRAPTO KEFAMENANU,RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA
950,120.267,-9.6628,RS UMUM DAERAH WAINGAPU,5302023,118,-9.6628,120.267,JL. ADAM MALIK NO.54 KEL. KAMBAJAWA - KECAMATAN KOTA WAINGAPU,RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,MANGGARAI TIMUR
943,121.654,-8.854,RS UMUM DAERAH ENDE,5311013,145,-8.854,121.654,JL. PROF DR. WZ.JOHANES ENDE,RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,ENDE
88,123.63903,-10.178955,RS JIWA NAIMATA,5371059,56,-10.178955,123.63903,"JLN. TAEBENU RT, 007 RW 003, KELURAHAN NAIMATA KECAMATAN MAULAFA KOTA KUPANG",RS,NUSA TENGGARA TIMUR,KOTA KUPANG
944,120.961,-8.7923,RS UMUM BAJAWA,5312014,83,-8.7923,120.961,"JL. DIPONEGORO NO. 5, BAJAWA",RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,NGADA
52,123.595,-10.184,RS UMUM PROF DR WZ JOHANES,5371011,277,-10.184,123.595,JL. DR MOCH HATTA NO. 19 KUPANG,RS_RUJUKAN_NASIONAL,NUSA TENGGARA TIMUR,KUPANG
147,119.204726,-9.448013,RS UMUM DAERAH PRATAMA REDA BOLO,5317002,45,-9.448013,119.204726,"WATU KAWULA, WEWEWA BARAT, WATU KAWULA, KOTA TAMBOLAKA, KABUPATEN SUMBA BARAT DAYA, NUSA TENGGARA TIM.",RS,NUSA TENGGARA TIMUR,SUMBA BARAT DAYA
151,124.898964,-9.091178,RS SUMBER KASIH SEJATI,5306055,54,-9.091178,124.898964,"JL.MEO BARU TENUKIIK RT.009,RW.003 KEL, TENUKIIK, ATAMBUA, KABUPATEN BELU, NUSA TENGGARA TIM.",RS,NUSA TENGGARA TIMUR,BELU
51,122.204286,-8.622152,RS UMUM DAERAH DR TC HILLERS MAUMERE,5310012,187,-8.622152,122.204286,"JL WAIRKLAU, NO. 1, 86113, KOTA BARU, ALOK TIM., KABUPATEN SIKKA, NUSA TENGGARA TIM.",RS_RUJUKAN_NASIONAL,NUSA TENGGARA TIMUR,SIKKA
941,123.5920206,-10.1639491,RS BHAYANGKARA,5303033,98,-10.1639491,123.5920206,JL. NANGKA NO. 84 KUPANG,RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,KUPANG
988,123.611085,-10.157093,RS SILOAM KUPANG,5303028,130,-10.157093,123.611085,"JL. R. W. MONGINSIDI, FATULULI, KEC. OEBOBO, KOTA KUPANG, NUSA TENGGARA TIM.",RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,KOTA KUPANG
942,120.487653,-8.626169,RS UMUM DAERAH DR. BEN MBOI RUTENG,5313015,159,-8.626169,120.487653,"JL. DR.SOETOMO NO.1 RUTENG, KAB. MANGGARAI",RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,MANGGARAI
427,124.8971637,-9.09864817500001,RS UMUM DAERAH MGR GABRIEL MANEK,5306016,139,-9.098648175,124.8971637,JL. DR SUTOMO NO.2 ATAMBUA,RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,BELU
599,123.595,-10.184, RS UMUM DAERAH S. K. LERIK,5303013,77,-10.184,123.595,    JL. TIMOR RAYA PASIR NO. 134 KELURAHAN PASIR PANJANG ,RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,KOTA KUPANG
601,123.595,-10.184, RSUD ROTE NDAO BA'A ,5303024,46,-10.184,123.595," JL. BA'A-BUSALANGGA, KAB. ROTE NDAO",RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,ROTE NDAO
629,121.874505,-10.456641,RS UMUM DAERAH SABU RAIJUA,5320002,56,-10.456641,121.874505,"JL. EL-TARI SEBA, MENIA",RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,SABU RAIJUA
319,124.891,-9.101,RS UMUM PENYANGGA PERBATASAN BETUN,5306042,102,-9.101,124.891,JL. SUKABIHANAWA NO. 02 DESA KAMANASA KEC.MALAKA TENGAH,RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,MALAKA
344,124.481,-9.6964,RS UMUM SOE,5304014,88,-9.6964,124.481,JL. BOEGENVILLE NO.7 SOE - TIMOR TENGAH SELATAN,RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN
614,119.884211,-8.496225,RS SILOAM LABUAN BAJO,5315002,66,-8.496225,119.884211,JL. GABRIEL GAMPURKECAMATAN KOMODO - LABUAN BAJOKAB. MANGGARAI BARAT,RS_RUJUKAN_PROVINSI,NUSA TENGGARA TIMUR,MANGGARAI BARAT
398,138.951952,-4.102061,RS UMUM WAMENA,9202013,166,-4.102061,138.951952,"JL. TRIKORA NO.9, KETIMAVIT, WAMENA, KABUPATEN JAYAWIJAYA, PAPUA 99511",RS_RUJUKAN_PROVINSI,PAPUA,JAYAWIJAYA
902,140.705231,-2.53672,RS PROVITA JAYAPURA,9271079,84,-2.53672,140.705231,"JL. DR. SAM RATULANGI, BAYANGKARA, JAYAPURA UTARA, KOTA JAYAPURA, PAPUA",RS_RUJUKAN_PROVINSI,PAPUA,JAYAPURA
400,136.431419,-3.951221,RS UMUM DAERAH PANIAI,9202023,92,-3.951221,136.431419,"JL. RAYA MADI KM.7, BADAUWO, PANIAI TIMUR, KABUPATEN PANIAI, PAPUA 98781",RS_RUJUKAN_PROVINSI,PAPUA,PANIAI
394,136.079798,-1.158087,RS UMUM BIAK,9205015,192,-1.158087,136.079798,"JL. SRIWIJAYA RIDGE 1, BRAMBAKEN, SAMOFA, KABUPATEN BIAK NUMFOR, PAPUA 98115",RS_RUJUKAN_PROVINSI,PAPUA,BIAK NUMFOR
716,135.53079499999998,-3.342949,RS UMUM NABIRE,9202012,106,-3.342949,135.53079499999998,"JL. R.E. MARTADINATA, SIRIWINI, KEC. NABIRE, KABUPATEN NABIRE, PAPUA 98816",RS_RUJUKAN_NASIONAL,PAPUA,NABIRE
388,140.671858,-2.6167990000000003,RS JIWA ABEPURA,9271045,74,-2.6167990000000003,140.671858,"JL. KESEHATAN II ABEPURA, KOTA JAYAPURA",RS_RUJUKAN_PROVINSI,PAPUA,JAYAPURA
