,X,Y,nama,kode_rs,tempat_tidur,lat,lon,alamat,tipe,wilayah
1298,112.34240439999999,-7.526281900000001,RS UMUM DIAN HUSADA,3516039,86,-7.526281900000001,112.34240439999999,JL. RAYA GEMEKAN NO. 77 DESA GEMEKAN KEC. SOOKO KAB. MOJOKERTO,,"MOJOKERTO, JAWA TIMUR"
1299,112.73696399999999,-7.266113000000001,RS IBU DAN ANAK PUSURA TEGALSARI,3578794,25,-7.266113000000001,112.73696399999999,JL. TEGALSARI NO.59 SURABAYA,,"KOTA SURABAYA, JAWA TIMUR"
1300,130.145,-3.2384,RS ST. YUSUPH ELAT,8101030,0,-3.2384,130.145,KEI BESAR KAB. MALUKU TENGGARA,,"MALUKU TENGGARA, MALUKU"
1301,106.897921,-6.958763,RS UMUM DAERAH AL-MULK,3272075,41,-6.958763,106.897921,"JL. PELABUHAN 2 KM 6, LEMBURSITU",,"SUKABUMI, JAWA BARAT"
1302,131.283995,-0.8878020000000001,RS KASIH HERLINA,9107002,43,-0.8878020000000001,131.283995,JL. SELAT MAKASSAR NO. 7 KEL. REMU SELATAN,,"SORONG, PAPUA BARAT"
1303,123.28782199999999,-1.337567,RS UMUM DAERAH TRIKORA SALAKAN,7201012,72,-1.337567,123.28782199999999,"JLN. TRANS PELING KM. 5 NO. 1 TOMPUDAU, TINANGKUNG, KABUPATEN BANGGAI KEPULAUAN, SULAWESI TENGAH 94885",,"BANGGAI KEPULAUAN, SULAWESI TENGAH"
1304,132.74168799999998,-5.649282,RS HATI KUDUS LANGGUR,8101026,90,-5.649282,132.74168799999998,"JL. JENDERAL SUDIRMAN, LANGGUR, KEL. OHOIJANG WATDEK, KEI KECIL, KABUPATEN MALUKU TENGGARA, MALUKU 97611",,"MALUKU TENGGARA, MALUKU"
1305,115.986127,-3.39701,RS UMUM MARINA PERMATA,6310018,95,-3.39701,115.986127,"JL.KODECO KM 4, DESA SARIGADUNG KEC. SIMPANG EMPAT KAB. TANAH BUMBU.",,"TANAH BUMBU, KALIMANTAN SELATAN"
1306,119.79061399999999,-3.9235559999999996,RS UMUM ANUGRAH PANGKAJENE,7314025,48,-3.9235559999999996,119.79061399999999,JL. LANTO DG. PASEWANG NO. 60 PANGKAJENE,,"SIDENRENG RAPPANG, SULAWESI SELATAN"
1307,106.9925257,-6.1236329000000005,RS UMUM TARUMAJAYA,3216435,54,-6.1236329000000005,106.9925257,"JALAN RAYA TARUMAJAYA NO. 1B, PANTAI MAKMUR TARUMAJAYA, BEKASI",,"BEKASI, JAWA BARAT"
1308,106.85356170000001,-6.5672309339999995,RS EMC SENTUL,3201247,77,-6.5672309339999995,106.85356170000001,"JL. MH. THAMRIN KAV. 57 SENTUL CITY, BOGOR 16810",,"BOGOR, JAWA BARAT"
1309,112.613106,-7.150833,RS UMUM RACHMI DEWI,3525099,40,-7.150833,112.613106,JL. JAWA 79 - 81 PERUM GRESIK KOTA BARU.,,"GRESIK, JAWA TIMUR"
1310,112.691796,-7.352166795,RS IBU DAN ANAK SOERYA,3515129,23,-7.352166795,112.691796,RAYA KALIJATEN 11-15 TAMAN SIDOARJO,,"SIDOARJO, JAWA TIMUR"
1311,119.033004,-2.547721,RS UMUM DAERAH KABUPATEN MAMUJU,7604012,126,-2.547721,119.033004,"JL. KURUNGAN BASSI (TRANS SULAWESI) NO.1, RIMUKU, KEC. MAMUJU, KABUPATEN MAMUJU, SULAWESI BARAT 91511",,"MAMUJU, SULAWESI BARAT"
1312,106.613447,-5.744838,RS UMUM DAERAH KEPULAUAN SERIBU,3101002,10,-5.744838,106.613447,"PANGGANG ISLAND, NORTH KEPULAUAN SERIBU, KEPULAUAN SERIBU REGENCY, JAKARTA 14530",,"KEPULAUAN SERIBU, DKI JAKARTA"
1313,106.614888,-6.177970218,RS IBU DAN ANAK KARUNIA BUNDA,3671217,22,-6.177970218,106.614888,"JL. ARIA SANTIKA NO. 28, KEL. MARGASARI, KEC. KARAWACI, KOTA TANGERANG 15113",,"TANGERANG, BANTEN"
